id,title,description,type,release_year,genres,directors,actors
0,five came back: the reference films,"this collection includes 12 world war ii-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""five came back.""",show,1945,documentation,,
1,the blazing sun,"a rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. what he doesn't know is that his own daughter is in love with ahmed, a young man from the village.",movie,1954,crime|romance|drama,youssef-chahine,faten-hamamah|omar-sharif|zaki-rostom|farid-shawqi|abdel-warith-assir|ahmad-abdel-waress|hamdy-ghaith|abdel-ghani-kamar|zaki-ibrahim
2,white christmas,two talented song-and-dance men team up after the war to become one of the hottest acts in show business. in time they befriend and become romantically involved with the beautiful haynes sisters who comprise a sister act.,movie,1954,romance|comedy,michael-curtiz,bing-crosby|danny-kaye|rosemary-clooney|vera-ellen|dean-jagger|mary-wickes|john-brascia|anne-whitfield|bea-allen|frank-baker|glen-cargyle|george-chakiris|barrie-chase|lorinne-crawford|franklyn-farnum|bess-flowers|gavin-gordon|johnny-grant|percy-helton|i.-stanford-jolley|sig-ruman|grady-sutton|herb-vigran|robert-crosson
3,dark waters,"ragab, a poor sailor, returns home to alexandria after three years of absence, during which he tried to save money to marry his one true love, hamedah. but there's trouble on the harbor, and with an old friend.",movie,1956,action|drama|romance|thriller,youssef-chahine,omar-sharif|faten-hamamah|ahmed-ramzy|tewfik-el-dekn|ferdoos-mohammed|husain-reyadh
4,cairo station,"qinawi, a physically challenged peddler who makes his living selling newspapers in the central cairo train station, is obsessed by hanuma, an attractive young woman who sells drinks. while she jokes with him about a possible relationship, she is actually in love with abu siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",movie,1958,drama|crime|comedy,youssef-chahine,farid-shawqi|hind-rostom|youssef-chahine|hassan-el-baroudi|abdel-aziz-khalil|said-khalil|abdel-ghani-nagdi|loutfi-el-hakim|abdel-hamid-bodaoha|f.-el-demerdache|said-el-araby|ahmed-abaza|hana-abdel-fattah|safia-sarwat|asaad-kellada|naima-wasfy|sherine|soheir|esmat-mahmoud|nawal-morsi|gharib-moawad|mohamed-mazhar|galal-issa|mahrous-el-garhi|ahmed-el-tantawi|s.-abdel-aziz|nadia-lotfi|safia-tharwat
5,ujala,"an honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",movie,1959,romance|crime|drama,,mala-sinha|shammi-kapoor|raaj-kumar|leela-chitnis|kumkum|dhumal|tun-tun|asrani|suresh
6,singapore,"when his employee disappears in singapore, shyam travels from india to investigate the absence and becomes entangled in a deadly plot.",movie,1960,drama|thriller|crime,shakti-samanta,shammi-kapoor|padmini|maria-menado|shashikala|agha
7,the guns of navarone,"a team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped british soldiers.",movie,1961,action|drama|war,j.-lee-thompson,gregory-peck|david-niven|anthony-quinn|stanley-baker|anthony-quayle|james-darren|irene-papas|gia-scala|james-robertson-justice|richard-harris|bryan-forbes|allan-cuthbertson|michael-trubshawe|percy-herbert|george-mikell|walter-gotell|tutte-lemkow|albert-lieven|norman-wooland|kleo-skouloudi|nicholas-papakonstantinou|christopher-rhodes|william-hoehne-jr.
8,saladin the victorious,"saladin, the first sultan of egypt and syria, leads the muslim military campaign against the invading christians from europe during the third crusade.",movie,1963,action|drama|war|history|romance,youssef-chahine,ahmad-mazhar|nadia-lotfi|salah-zulfikar|leila-fawzi|hamdy-ghaith|laila-taher|omar-el-hariri|husain-reyadh|mahmoud-el-meliguy|zaki-toleimat|tewfik-el-dekn|mohamed-hamdy|mohamed-sultan|mohamed-abdel-gawad|sami-loutfi|ibrahim-emara|ahmed-louxor|salah-nazmi
9,the professionals,an arrogant texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious mexican bandit.,movie,1966,western|action|european,richard-brooks,burt-lancaster|lee-marvin|robert-ryan|woody-strode|jack-palance|claudia-cardinale|ralph-bellamy|joe-de-santis|rafael-bertrand|jorge-martínez-de-hoyos|marie-gomez|josé-chávez|carlos-romero|vaughn-taylor|elizabeth-campbell|don-carlos|leigh-chapman|roberto-contreras|dirk-evans|darwin-lamb|eddie-little-sky|john-lopez|john-mckee|philip-l.-parslow|ron-veto
10,the dirty dozen,"12 american military prisoners in world war ii are ordered to infiltrate a well-guarded enemy château and kill the nazi officers vacationing there. the soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",movie,1967,war|action,robert-aldrich,lee-marvin|ernest-borgnine|charles-bronson|jim-brown|john-cassavetes|richard-jaeckel|george-kennedy|trini-lópez|ralph-meeker|robert-ryan|telly-savalas|donald-sutherland|clint-walker|robert-webber|tom-busby|ben-carruthers|stuart-cooper|robert-phillips|colin-maitland|al-mancini|george-roubicek|thick-wilson|dora-reisser|michael-anthony|leo-britt|alan-chuntz|gary-files|judith-furse|hal-galili|romo-gorrara|willoughby-gray|gerard-heinz|john-g.-heller|george-hilsdon|john-hollis|alf-joint|juba-kennerley|hildegard-knef|ann-lancaster|richard-marner|dick-miller|lionel-murton|suzanne-owens-duval|mike-reid|terry-richards|frederick-schiller|richard-shaw|warren-stanhope|hedger-wallace|theodore-wilhelm|rocky-taylor|burnell-tucker|vicki-woolf|michael-segal
11,bonnie and clyde,"in the 1930s, bored waitress bonnie parker falls in love with an ex-con named clyde barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",movie,1967,crime|drama|action,arthur-penn,warren-beatty|faye-dunaway|michael-j.-pollard|gene-hackman|estelle-parsons|denver-pyle|dub-taylor|evans-evans|gene-wilder|mabel-cavitt|patrick-cranshaw|owen-bush|clyde-howdy|russ-marker|ann-palmer|ken-mayer
12,monty python's flying circus,"a british sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",show,1969,comedy|european,,graham-chapman|michael-palin|terry-jones|eric-idle|terry-gilliam
13,the land,"set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord mahmoud bey. the peasants send muhammad effendi to submit a petition to the government. then mahmoud bey proposes a project that would require taking part of the peasants' lands.",movie,1969,drama,youssef-chahine,ezzat-el-alaili|mahmoud-el-meliguy|hamdy-ahmed|yehia-chahine|tewfik-el-dekn|ali-el-sherif|salah-el-saadany|nagwa-ibrahim|abdel-warith-assir|fatma-omara‏|ashraf-al-selehdar|hussein-ismail|mahmoud-al-iraq|faiza-abdelgawwad
14,dirty harry,"when a madman dubbed 'scorpio' terrorizes san francisco, hard-nosed cop, harry callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. harry eventually collars scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. now, the maverick detective is determined to nail the maniac himself.",movie,1971,thriller|action|crime,don-siegel,clint-eastwood|harry-guardino|reni-santoni|john-vernon|andrew-robinson|john-larch|john-mitchum|mae-mercer|lyn-edgington|ruth-kobart|woodrow-parfrey|josef-sommer|william-paterson|james-nolan|maurice-argent|jo-de-winter|craig-kelly|albert-popwell|joy-carlin|bill-couch|diana-davidson|vince-deadrick-sr.|chuck-dorsett|al-dunlap|larry-duran|george-fargo|lois-foraker|max-gail|john-garber|christopher-pray|eddie-garrett|james-w.-gavin|david-gilliam|don-haggerty|scott-hale|kate-harper|bob-harris|chuck-hicks|raymond-johnson|richard-lawson|laurie-mock|ann-noland|kathleen-o'malley|angela-paton|victor-paul|debralee-scott|don-siegel|kristoffer-tabori|tony-dario|marc-hertsens|gordon-chapli|janet-wisely|pamela-tanimura|richard-samuelson|derek-jue|sean-maley|diane-darnell
15,fta,"a documentary about a political troupe headed by actors jane fonda and donald sutherland which traveled to towns near military bases in the us in the early 1970s. the group put on shows called ""f.t.a."", which stood for ""f**k the army"", and was aimed at convincing soldiers to voice their opposition to the vietnam war, which was raging at the time. various singers, actors and other entertainers performed antiwar songs and skits during the show.",movie,1972,war|documentation|music|comedy,francine-parker,jane-fonda|donald-sutherland|pamela-donegan|len-chandler|michael-alaimo|holly-near|paul-mooney|rita-martinson|peter-boyle|steve-jaffe
16,monty python's fliegender zirkus,"monty python's fliegender zirkus consisted of two 45-minute monty python german television comedy specials produced by wdr for west german television. the two episodes were first broadcast in january and december 1972 and were shot entirely on film and mostly on location in bavaria, with the first episode recorded in german and the second recorded in english and then dubbed into german.",show,1972,comedy,ian-macnaughton,graham-chapman|john-cleese|eric-idle|terry-jones|michael-palin
17,deliverance,"intent on seeing the cahulawassee river before it's turned into one huge lake, outdoor fanatic lewis medlock takes his friends on a river-rafting trip they'll never forget into the dangerous american back-country.",movie,1972,drama|action|thriller|european,john-boorman,jon-voight|burt-reynolds|ned-beatty|ronny-cox|ed-ramey|billy-redden|seamon-glass|randall-deal|bill-mckinney|herbert-'cowboy'-coward|lewis-crone|ken-keener|johnny-popwell|john-fowler|kathy-rickman|louise-coldren|pete-ware|james-dickey|macon-mccalman|hoyt-pollard|belinda-beatty|charley-boorman
18,khoon khoon,"as a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of dirty harry.",movie,1973,crime|thriller,mohammed-hussain,mahendra-sandhu|danny-denzongpa|jagdeep|faryal|padma-khanna|asit-sen|karan-dewan|agha|murad|sabina
19,manoranjan,"havaldar ratan is a rookie at the local police station, and is assigned duty on foot patrol on manoranjan street, a notorious red-light area, on the very first day of his job. he strikes up a conversation with a good-looking young woman named nisha, and tells her that there is a possible violation of suppression of immoral trafficking act taking place on this street. he witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. alas, one of the men frequenting the prostitutes is none other than ratan's superior officer, who immediately summons ratan, and has him removed from service on corruption charges. nisha takes pity on a homeless and unemployed ratan, and asks him to live with her. he does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich nawab and spends time with her.",movie,1974,romance|drama|comedy,suhail-tatari,
20,"beirut, oh beirut","in the aftermath of the 1967 defeat, four young lebanese try to figure out their places in a society whose rules seem to have changed. it proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.",movie,1975,drama,maroun-bagdadi,ezzat-el-alaili|mireille-maalouf|joseph-bou-nassar|philippe-akiki|ahmed-al-zain
21,monty python and the holy grail,"king arthur, accompanied by his squire, recruits his knights of the round table, including sir bedevere the wise, sir lancelot the brave, sir robin the not-quite-so-brave-as-sir-lancelot and sir galahad the pure. on the way, arthur battles the black knight who, despite having had all his limbs chopped off, insists he can still fight. they reach camelot, but arthur decides not  to enter, as ""it is a silly place"".",movie,1975,fantasy|action|comedy,terry-jones|terry-gilliam,graham-chapman|john-cleese|eric-idle|terry-gilliam|terry-jones|michael-palin|connie-booth|carol-cleveland|neil-innes|bee-duffell|john-young|rita-davies|avril-stewart|sally-kinghorn|mark-zycon|elspeth-cameron|mitsuko-forstater|sandy-johnson|sandy-rose|romilly-squire|joni-flynn|alison-walker|loraine-ward|anna-lanski|sally-coombe|vivienne-macdonald|yvonne-dick|daphne-darling|fiona-gordon|judy-lamb|tracy-sneddon|joyce-pollner|mary-allen|gloria-graham|sylvia-taylor|julian-doyle|margarita-doyle|zack-matalon|scott-mike|william-palin|terry-jones|tom-raeburn|brian-ross|roy-forge-smith|john-thornton|maggie-weston
22,chadi jawani budhe nu,"a small-time businessman (b.s. sood) reaches the ""naughty forties"". now his wife is not good enough anymore, so he decides he needs a modern up to date mistress, resulting in hilarious situations.",movie,1976,romance,a.-salaam,
23,the return of the prodigal son,"in this andre gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. demonstrating chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.",movie,1976,music|drama|crime,youssef-chahine,mahmoud-el-meliguy|hoda-soltan|shukri-sarhan|soheir-el-morshidy|hesham-selim|majida-el-roumi|ali-el-sherif|rajaa-hussain|sid-ali-kouiret|ali-mahrez|ahmad-bedir
24,taxi driver,a mentally unstable vietnam war veteran works as a night-time taxi driver in new york city where the perceived decadence and sleaze feed his urge for violent action.,movie,1976,drama|crime,martin-scorsese,robert-de-niro|jodie-foster|albert-brooks|harvey-keitel|cybill-shepherd|peter-boyle|leonard-harris|diahnne-abbott|gino-ardito|martin-scorsese|murray-moston|richard-higgs|bill-minkin|bob-maroff|victor-argo|joe-spinell|robinson-frank-adu|brenda-dickson|norman-matlock|harry-northup|harlan-cary-poe|steven-prince|peter-savage|nicholas-shields|ralph-s.-singleton|annie-gagen|carson-grant|mary-pat-green|debbi-morgan|don-stroud|copper-cunningham|garth-avery|nat-grant|billie-perkins|catherine-scorsese|charles-scorsese
25,hitler: a career,"a keen chronicle of the unlikely rise to power of adolf hitler (1889-1945) and a dissection of the third reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",movie,1977,history|documentation|european,joachim-fest,gert-westphal
26,bandie,"maharaj brajbhan lives a wealthy lifestyle in bharatpur, india along with his wife, badi rani, but have been unable to conceive for bharatpur, and have no choice but to leave it's reigns with brajban's widowed cousin, vikram, and his son, kanchan. when vikram finds out that badi rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the maharaj, and then decides to have her killed. but her killer has a change of heart and lets her live. she gives birth to a son, names him bhola, and starts living a simple lifestyle in a mandir with the help of it's poojary. years later vikram finds out she is alive and kills her, as well the poojary and the poojary's son. bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.",movie,1978,drama|action|romance,alo-sarkar,uttam-kumar|sulakshana-pandit|utpal-dutt
27,alibaba aur 40 chor,"the movie is based on the story of ali baba and the forty thieves, from the one thousand and one nights or arabian tales. the role of ali baba is played by dharmendra and hema malini play morjina.",movie,1979,drama|romance|action|fantasy|family,umesh-mehra|latif-faiziyev,dharmendra|hema-malini|zeenat-aman|prem-chopra|zakir-mukhamedzhanov|sofiko-chiaureli|yelena-sanayeva|frunzik-mkrtchyan|maya-gozel-aimedova
28,alexandria… why?,"set against the panoramic backdrop of war-torn egypt, director youssef chahine tells a highly personal tale of love and determination. amid the poverty, death and suffering caused by world war ii, 18 year-old yehia, retreats into a private world of fantasy and longing. obsessed with hollywood, he dreams of one day studying filmmaking in america, but after falling in love and discovering the lies of european occupation, yehia profoundly reevaluates his identity and allegiances.",movie,1979,drama,youssef-chahine,farid-shawqi|mahmoud-el-meliguy|ezzat-el-alaili|youssef-wahby|yehia-chahine|leila-fawzi|akela-kateb|zeinab-sedky|ahmad-abdel-waress|abdel-azziz-makhyoun|ahmed-mehrez|abdel-warith-assir|aida-kamel|oussaida-abbass|zouzou-hamdy-el-hakim|abdel-salam-mohamed|halima-el-soghayar|samira-mohamed|abou-hachich|gamil-el-traboulsi|ahmad-zaki|ahmad-bedir|naglaa-fathy|abdullah-mahmoud|mohsena-tawfik|seif-abdelrahman
29,richard pryor: live in concert,"richard pryor delivers monologues on race, sex, family and his favorite target—himself, live at the terrace theatre in long beach, california.",movie,1979,comedy|documentation,jeff-margolis,richard-pryor|jennifer-lee-pryor
30,life of brian,"brian cohen is an average young jewish man, but through a series of ridiculous events, he gains a reputation as the messiah. when he's not dodging his followers or being scolded by his shrill mother, the hapless brian has to contend with the pompous pontius pilate and acronym-obsessed members of a separatist movement. rife with monty python's signature absurdity, the tale finds brian's life paralleling biblical lore, albeit with many more laughs.",movie,1979,comedy,terry-jones,graham-chapman|john-cleese|terry-gilliam|eric-idle|terry-jones|michael-palin|terence-bayler|carol-cleveland|kenneth-colley|neil-innes|charles-mckeown|john-young|gwen-taylor|sue-jones-davies|peter-brett|john-case|chris-langham|andrew-maclachlan|bernard-mckenna|spike-milligan|george-harrison
31,we are all for the fatherland,"after the 1978 israeli invasion of lebanon, children try to sing the national anthem as citizens search for hope in the war-torn south.",movie,1979,documentation,maroun-bagdadi,
32,dostana,"two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.",movie,1980,drama|comedy|crime|romance|action,raj-khosla,amitabh-bachchan|shatrughan-sinha|zeenat-aman|prem-chopra|amrish-puri|helen|pran|gajanan-jagirdar|sajjan|iftekhar|k.n.-singh|trilok-kapoor|abhimanyu-sharma|goga-kapoor|mac-mohan|paintal|jagdish-raj|ruby-myers|yunus-parvez
33,whispers,"at every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",movie,1980,documentation,maroun-bagdadi,nadia-tueni
34,the blue lagoon,"two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. soon, however, the cook dies and the young boy and girl are left on their own. days become years and emmeline and richard make a home for themselves surrounded by exotic creatures and nature's beauty. but will they ever see civilization again?",movie,1980,romance|action|drama,randal-kleiser,brooke-shields|christopher-atkins|leo-mckern|william-daniels|jeffrey-kleiser|gus-mercurio|elva-josephson|glenn-kohan|bradley-pryce|chad-timmerman|gert-jacoby|alex-hamilton|richard-evanson
35,endless love,"two young kids fall in love with each other. but the passion is too consuming for the parents of jade. the parents try to stop them from seeing each other. but when this doesn't work, david burns down the house and is sent away. this doesn't stop him from seeing her. when he gets out he goes to look for her. but the passion for his first love is too strong and she has to leave.",movie,1981,romance|drama,franco-zeffirelli,brooke-shields|martin-hewitt|shirley-knight|don-murray|richard-kiley|beatrice-straight|penelope-milford|james-spader|ian-ziering|jami-gertz|tom-cruise|jeff-marcus|jamie-bernstein|walt-gorney|billie-perkins
36,mobile suit gundam ii: soldiers of sorrow,"after managing to survive attacks by zeon's char aznable and garma zabi, the crew of federation warship white base and its mobile suits must battle zeon forces through asia, europe, and the atlantic ocean if they are to reach earth federation's headquarters alive. during that process many of its crewmembers must overcome their fears, losses, immaturities, and insecurities in order to survive.",movie,1981,animation|scifi|action|drama|war,yoshiyuki-tomino,toru-furuya|shuuichi-ikeda|hirotaka-suzuoki|fuyumi-shiraishi|kiyonobu-suzuki|masashi-hirose|shozo-iizuka|kaneto-shiozawa|yumi-nakatani|yasuo-matsumura|keiko-toda|toshio-furukawa|rumiko-ukai|yō-inoue
37,danger mouse,"danger mouse, the world's greatest secret agent, and his side-kick penfold work to foil the evil schemes of baron greenback.",show,1981,animation|comedy|family|scifi|european,,david-jason|terry-scott|edward-kelsey|brian-trueman
38,the little wars,"beirut resident soraya is drawn to two men: daredevil photographer nabil and talal, who must embrace his feudal heritage when his father is kidnapped.",movie,1982,war|drama|european,maroun-bagdadi,soraya-khoury|nabil-ismaïl|roger-hawa|reda-khoury|youcef-hosni
39,an egyptian story,"acclaimed actor nour el cherif here plays egyptian filmmaker yehia mourad some thirty years after we last see him in ""alexandria, why?""  though successful in his work, yehia has grown distant from his wife and children and suﬀers a symbolic blockage of the heart while shooting the final scenes of his latest film. after being flown to england for evaluation, it's determined that yehia must undergo emergency surgery.  fact and fiction blend seamlessly—with healthy doses of cleverly  absurdist fantasy—as the film explores the various personalities and forces that have made yehia (and youssef chahine) the man he has become.",movie,1982,drama|fantasy,youssef-chahine,nour-el-sherif|yousra|mohsen-mohie-eldein|gumball-williams|soheir-el-bably|magda-el-khatib|mohamed-mounir
40,disco dancer,"anil, a street singer, is humiliated and driven out of bombay along with his mother. however, he soon becomes a famous performer but the enemies from his past try to destroy his hard-earned career.",movie,1982,drama|romance,babbar-subhash,mithun-chakraborty|kim|rajesh-khanna|om-shivpuri|karan-razdan|kalpana-iyer|om-puri|gita-siddharth|yusuf-khan|bob-christo|master-chhotu|baby-pinky|amarnath-mukherjee|chandrashekhar|gauri-verma|sunil-dhawan|avtar-singh-gullu|harbans-darshan-m.-arora|tyrone-aviet|yunus-parvez|tun-tun|yasmin|bina|vee-suri|anjuman|priyanka-upendra
41,mobile suit gundam iii: encounters in space,"amuro ray and the rest of the white base crew, now denominated the 13th autonomous corps, return to outer space to support the rest of the earth federation forces for the decisive battle against the duchy of zeon's forces.",movie,1982,action|drama|war|animation|scifi,yoshiyuki-tomino,toru-furuya|shuuichi-ikeda|hirotaka-suzuoki|kiyonobu-suzuki|fuyumi-shiraishi|keiko-han|banjo-ginga|mami-koyama|yasuo-matsumura|toshio-furukawa|rumiko-ukai|hidekatsu-shibata|makio-inoue|sherry-lynn|yō-inoue
42,knight rider,"michael long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. he is rescued by wilton knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of michael knight. michael is then given a special computerized and indestructible car called the knight industries two thousand (nicknamed kitt), and a mission: apprehend criminals who are beyond the reach of the law. the series depicts michael's exploits as he and kitt battle the forces of evil on behalf of the foundation for law and government.",show,1982,scifi|action|crime|drama,,david-hasselhoff|edward-mulhare|william-daniels|patricia-mcpherson|peter-parros
43,monty python live at the hollywood bowl,"monty python perform many of their greatest sketches at the hollywood bowl, including several from pre-python days.",movie,1982,comedy|documentation,terry-hughes|ian-macnaughton,terry-gilliam|john-cleese|graham-chapman|eric-idle|terry-jones|michael-palin|neil-innes|carol-cleveland
44,ek jaan hain hum,"coming from a decent upper middle-class family, vikram saxena meets with gorgeous seema singh, and both fall in love. but their respective families have other plans for them. while vikram is able to convince his advocate dad, shyam sunder, to change his mind, seema is unable to do so, and her marriage is being planned with a u.s. resident. things take a turn for the worst when the police arrest vikram with arson, with evidence that he had burned down a property belonging to seema's dad, colonel ram mohan singh. due to this, vikram's dad comes forward to defend him, and seema will not have anything to do with him anymore. shyam sunder realizes that the only way he can save his son from being imprisoned is to have him certified as insane, but will have to live with the consequences for the rest of his life, as well as the the stigma this will place on his family for years to come.",movie,1983,family|romance,rajiv-mehra,
45,christine,"geeky student arnie cunningham falls for christine, a rusty 1958 plymouth fury, and becomes obsessed with restoring the classic automobile to her former glory. as the car changes, so does arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. arnie's girlfriend leigh and best friend dennis reach out to him, only to be met by a fury like no other.",movie,1983,horror|thriller|european,john-carpenter,keith-gordon|john-stockwell|alexandra-paul|robert-prosky|harry-dean-stanton|christine-belford|roberts-blossom|william-ostrander|david-spielberg|malcolm-danare|steven-tash|stuart-charno|kelly-preston|marc-poppel|robert-darnell|douglas-warhit|richard-collier|bruce-french|keri-montgomery|jan-burrell|charles-steak|art-evans|john-richard-petersen
46,wheel of fortune,"this game show sees contestants solve word puzzles, similar to those used in hangman, to win cash and prizes determined by spinning a giant carnival wheel.",show,1983,family,,vanna-white|pat-sajak
47,vaashi,"ebin mathew, a budding lawyer ambitiously joins hands with his advocate friend madhavi mohan, to share a new office space in order for them to start their independent careers. their relationship gets strained when they land on opposite ends of a case.",movie,1983,drama|thriller,vishnu-raghav,tovino-thomas|keerthy-suresh|kottayam-ramesh|nandhu|baiju-santhosh|rony-david-raj|anu-mohan|maya-viswanath|maya-menon|anagha-narayanan|rj-raghu|g-suresh-kumar|sreelakshmi
48,police academy,"new rules enforced by the lady mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the police force. this opens the floodgates for all and sundry to enter the police academy, much to the chagrin of the instructors. not everyone is there through choice, though. social misfit mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish lieutenant harris. but before long, mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while harris decides he wants mahoney out!",movie,1984,crime|comedy,hugh-wilson,steve-guttenberg|kim-cattrall|g.w.-bailey|bubba-smith|donovan-scott|george-gaynes|andrew-rubin|david-graf|leslie-easterbrook|michael-winslow|debralee-scott|bruce-mahler|ted-ross|scott-thomson|brant-von-hoffman|marion-ramsey|roger-dunn|joyce-gordon|georgina-spelvin|hugh-wilson|t.j.-scott|john-sampson|dar-robinson|kay-hawtrey|john-hawkes|charles-w.-gray|suzanne-barker|dwayne-mclean|danny-lima|danny-pawlick|bob-collins|gene-mack|gino-marrocco|david-clement|j.-winston-carroll|wally-bondarenko|f.-braun-mcash|marco-bianco|fred-brigham|james-bearden|gary-farmer|barry-greene|araby-lockhart|beth-amos|bruce-mcfee|michael-j.-reynolds|don-lake|george-r.-robertson|doug-lennox|wink-roberts
49,duniya,"mohan kumar's diligence and honesty lands him in trouble with balwant singh kalra, jugal kishore ahuja, and mr. bhandari. together the trio frame and imprison mohan and make him watch helplessly as his wife is killed. years later, mohan kumar is released from prison, his only goal in life is to avenge his humiliation and wrongful arrest at the hands of the trio. with the help of dinesh verma, he establishes himself again, and starts the process of bringing death and destruction to the trio. the trio are well aware of his presence, and decide to send one of their men, ravi, to spy on him. ravi falls in love with verma's daughter, roma, and decides to change sides to help verma and mohan, but mohan will not have anything to do with ravi, and asks him to leave. ravi then becomes a target by the trio and their men, and has to save himself, and the only way he can redeem himself is by turning the tables over mohan, who is none other than his own father.duniya",movie,1984,action|drama,ramesh-talwar,ashok-kumar|dilip-kumar|rishi-kapoor|amrita-singh|prem-chopra|amrish-puri|pran|satyendra-kapoor|mac-mohan
50,once upon a time in america,"a former prohibition-era jewish gangster returns to the lower east side of manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",movie,1984,crime|drama|european,sergio-leone,robert-de-niro|james-woods|elizabeth-mcgovern|joe-pesci|tuesday-weld|burt-young|treat-williams|danny-aiello|richard-bright|james-hayden|william-forsythe|darlanne-fluegel|larry-rapp|olga-karlatos|frank-gio|jennifer-connelly|scott-schutzman-tiler|rusty-jacobs|brian-bloom|mike-monetti|adrian-curran|julie-cohen|noah-moazezi|james-russo|clem-caserta|frank-sisto|jerry-strivelli|mike-gendel|sandra-solberg|margherita-pace|paul-herman|bruno-iannone|bruno-bilotta|ray-dittrich|richard-foronjy|mario-brega|angelo-florio|marcia-jean-kurtz|gerard-murphy|dutch-miller|robert-harper|amy-ryder|karen-shallo|frankie-caserta|joey-marzella|marvin-scott|ann-neville|joey-faye|linda-ipanema|tandy-cronyn|richard-zobel|baxter-harris|arnon-milchan|marty-licata|estelle-harris|gerritt-debeer|alexander-godfrey|cliff-cudney|paul-farentino|bruce-bahrenburg|mort-freeman|massimo-liti|jay-zeely|salvatore-billa|greg-anthony|scott-coffey|matteo-cafiso|nunzio-giuliani|nelson-camp|dario-iori|ole-jorgensen|francesca-leone|chuck-low|ron-nummi|ryan-paris|nicola-roberto|gianni-sanjust|alex-serra|susan-spafford|mark-frazer|maria-pia-monicelli|louise-fletcher|claudio-mancini
51,a nightmare on elm street,"teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. a cop's daughter, nancy thompson, traces the cause to child molester fred krueger, who was burned alive by angry parents many years before. krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. nancy and her boyfriend, glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",movie,1984,horror,wes-craven,heather-langenkamp|robert-englund|john-saxon|ronee-blakley|amanda-wyss|jsu-garcia|johnny-depp|charles-fleischer|joseph-whipp|lin-shaye|joe-unger|mimi-craven|jack-shea|ed-call|sandy-lipton|david-andrews|jeff-levine|donna-woodrum|shashawnee-hall|carol-pritikin|brian-reise|ash-adams|don-hannah|leslie-hoffman|paul-grenier|kathi-gibbs|chris-tashima|antonia-yannouli|john-richard-petersen|robert-shaye
52,sohni mahiwal,"shahjada ijjat beg comes to india with his caravan and settles in a town in gujrat. here he falls in love with sohani, who keeps a shop in metal pots. ijjat beg buys pot from her with whatever money he had and they were attracted to each other. sohni dispensed with her servant and kept ijjat beg instead. this gave them more opportunity to meet. this was a scandal in the town and sohni was perforce married to rehaman who was slightly off his head. sohni continued her meeting ijjat beg who went out fishing. when the atmosphere became to hot for them they jointly took a water grave for their love.",movie,1984,romance|drama|action,latif-faiziyev|umesh-mehra,sunny-deol|poonam-dhillon|gulshan-grover|tanuja|shammi-kapoor|pran|rakesh-bedi|zeenat-aman
