id,title,description,type,release_year,genres,directors,actors
3248,brother,"because he wanted to protect his little brother, teddy, a young man without a history, is accused of the murder of his father and sent to a closed educational center, waiting for his trial for parricide. he then plunges into a brutal universe of which he does not know the rules.",movie,2019,drama|european,julien-abraham,mhd|darren-muselet|aïssa-maïga|jalil-lespert|youssouf-gueye|hiam-abbass|lisette-malidor|mark-grosy|néva-kehouane|almany-kanoute|fatima-ait-bounoua|matthieu-longatte|najeto-injai|hakou-benosmane|didier-michon|bilal-benaïssa|hassan-kone|bilal-fellahghnimi|ismaël-ouazzani|édouard-berchiche|maxence-leurent|abdelkader-hoggui|christian-nsankete|bintou-sylla
3249,the son,painter lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son.,movie,2019,thriller,sebastián-schindel,joaquín-furriel|martina-gusman|luciano-cáceres|heidi-toini|regina-lamm
3250,american woman,"a political activist helps take care of a group of america’s most wanted fugitives — including a well-known, recently radicalized heiress — in this fictionalized reimagining of the patty hearst affair.",movie,2019,drama,semi-chellas,hong-chau|sarah-gadon|lola-kirke|john-gallagher-jr.|ellen-burstyn|david-cubitt|matt-gordon|richard-walters
3251,skylines,"in frankfurt, a young, talented hip-hop producer in germany signs with a record label where he finds that the worlds of music and organized crime collide.",show,2019,crime|drama|music|documentation|reality,,edin-hasanović|peri-baumeister|murathan-muslu|sahin-eryilmaz|richy-müller|lisa-maria-potthoff
3252,hope frozen,"a buddhist scientist from bangkok decides to cryo-preserve his daughter's brain. as scandal swirls around the family, they struggle to grieve a child that, in their view, is suspended between death and a future reawakening.",movie,2019,documentation,pailin-wedel,nareerat-naovaratpong|sahatorn-naovaratpong|matrix-naovaratpong
3253,sextuplets,"father-to-be alan is shocked to learn that he was born a sextuplet. with his newfound brother russell riding shotgun, the duo sets out on a hilarious journey to reunite with their remaining long-lost siblings.",movie,2019,comedy,michael-tiddes,marlon-wayans|michael-ian-black|molly-shannon|glynn-turman|bresha-webb|debbi-morgan|robert-pralgo|jwaundace-candece|jason-graham|casey-hendershot|grace-junot|robert-pralgo|scott-hunter
3254,remastered: devil at the crossroads,"robert johnson was one of the most influential blues guitarists ever. even before his early death, fans wondered if he'd made a pact with the devil.",movie,2019,documentation|music,brian-oakes,keith-richards|keb'-mo'|taj-mahal|bonnie-raitt|eric-clapton|john-hammond|bruce-conforth
3255,justine,"a woman dealing with the loss of her husband, the struggle of parenthood and finding work in a new state finds solace in her relationship with an 8 year old physically disabled girl named justine who she takes care of.",movie,2019,drama,stephanie-turner,stephanie-turner|darby-stanchfield|christine-ko|glynn-turman|josh-stamberg|david-theune|cleo-king|olivia-hamilton|matt-hobby|melanie-hutsell|daisy-prescott|karen-bethzabe|heather-mcphaul|londyn-silzer|lynn-andrews|becki-dennis|ravi-cabot-conyers|bridget-kallal|isaiah-c.-morgan|ella-giufre
3256,archibald's next big thing,the adventures of a care-free chicken named archibald.,show,2019,family|fantasy|scifi|animation|comedy|action,,tony-hale|rosamund-pike|kari-wahlgren|jordan-fisher|chelsea-kane|adam-pally
3257,frontera verde,"when a young bogotá-based detective gets drawn into the jungle to investigate four femicides, she uncovers magic, an evil plot and her own true origins.",show,2019,crime|drama|thriller|scifi,,juana-del-río|miguel-dionisio-ramos|ángela-cano|nelson-camayo
3258,the legend of white snake,"provoked by the actions of a seemingly sly human, an ancient snake spirit takes on a human form, in order to prove him a fraud. convinced she’s doing the world a favor, bai su zhen challenges xu xuan to a contest of skill but what starts as a heated rivalry soon turns to burning passion. faced with opposition from every side, bai su zhen and xu xuan’s love is put to the test time and time again.",show,2019,drama|scifi|fantasy,지뢰,ju-jingyi|alan-yu|pei-zitian|xiao-yan|nie-zihao|feng-jian-yu|yu-lang|fang-yilun|choenyi-tsering|david-wu|chen-si-che
3259,eye for an eye,"mario, an exemplary man, lives in a village on the galician coast. in the old people’s home, where he works as a nurse, everyone appreciates him. when the best known narco in the area, antonio padín, recently released from prison, enters the residence, mario tries to make antonio feel at home.  now, padín's two sons, kike and toño, are in charge of the family business. the failure of an operation will put kike in jail and cause them to owe a large debt to a colombian supplier. toño will turn to the nurse to try to convince his father to assume the debt. but mario has his own plans.",movie,2019,drama|thriller|crime|action|european,paco-plaza,luis-tosar|maría-vázquez|ismael-martínez|pablo-guisa-koestinger|daniel-currás|maría-luisa-mayol|víctor-duplá|enric-auquer|xan-cejudo|marcos-javier-fernández-eimil|tania-lamata|tamar-novas|pepo-suevos|césar-valdés|xoel-fernández|xosé-manuel-esperante|tamara-canosa|jessica-serna|rebeca-montero|xosé-luís-bernal|mariana-carballal|estíbaliz-veiga|luisa-merelas|alejandro-saá|diana-gonzález|marián-bañobre
